enormously,tremendously,immensely,wrong
provisions,stipulations,provision,wrong
haphazardly,randomly,haphazard,wrong
prominent,conspicuous,Prominent,wrong
zenith,pinnacle,nadir,wrong
flawed,imperfect,misguided,wrong
urgently,desperately,urgent,wrong
consumed,eaten,consuming,wrong
advent,coming,introduction,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,salute,wrong
solitary,alone,confinement,wrong
hasten,accelerate,hastening,wrong
perseverance,endurance,courage,wrong
fanciful,imaginative,fantastical,wrong
showed,demonstrated,demonstrated,correct
constantly,continually,continually,correct
issues,subjects,issue,wrong
furnish,supply,furnished,wrong
costly,expensive,expensive,correct
recognized,acknowledged,recognised,wrong
spot,location,spots,wrong
make,earn,making,wrong
often,frequently,Often,wrong
easygoing,relaxed,laid-back,wrong
debate,argument,debates,wrong
narrow,thin,narrower,wrong
arranged,planned,arrange,wrong
infinite,limitless,finite,wrong
showy,striking,daisy-like,wrong
levied,imposed,levy,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,wrong
discrepancies,differences,discrepancy,wrong
prolific,productive,renowned,wrong
unmatched,unequaled,unparalleled,wrong
peculiarly,uniquely,peculiar,wrong
hue,color,tint,wrong
hind,rear,hindlegs,wrong
highlight,accentuate,highlights,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,climates,wrong
grin,smile,smile,correct
verbally,orally,abusive,wrong
physician,doctor,surgeon,wrong
essentially,basically,basically,correct
keen,sharp,avid,wrong
situated,positioned,located,wrong
principal,major,Principal,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,task,wrong
unlikely,improbable,likely,wrong
halfheartedly,apathetically,NO ANSWER,guess
annals,chronicles,annal,wrong
wildly,furiously,hugely,wrong
hailed,acclaimed,Hailed,wrong
command,mastery,commanded,wrong
concocted,devised,concoct,wrong
prospective,potential,Prospective,wrong
generally,broadly,Generally,wrong
sustained,prolonged,sustaining,wrong
perilous,dangerous,precarious,wrong
tranquillity,peacefulness,tranquility,wrong
dissipate,disperse,dissipates,wrong
primarily,chiefly,mainly,wrong
colloquial,conversational,slang,wrong
resolved,settled,resolve,wrong
feasible,possible,unfeasible,wrong
expeditiously,rapidly,speedily,wrong
percentage,proportion,percentages,wrong
terminated,ended,terminate,wrong
uniform,alike,uniforms,wrong
figure,solve,figures,wrong
sufficient,enough,insufficient,wrong
fashion,manner,high-fashion,wrong
marketed,sold,Marketed,wrong
bigger,larger,larger,correct
roots,origins,rooted,wrong
normally,ordinarily,usually,wrong
