enormously,tremendously,immensely,wrong
provisions,stipulations,provision,wrong
haphazardly,randomly,carelessly,wrong
prominent,conspicuous,Prominent,wrong
zenith,pinnacle,pinnacle,correct
flawed,imperfect,flaws,wrong
urgently,desperately,urgent,wrong
consumed,eaten,consume,wrong
advent,coming,introduction,wrong
concisely,succinctly,succinctly,correct
salutes,greetings,salute,wrong
solitary,alone,confinement,wrong
hasten,accelerate,hastening,wrong
perseverance,endurance,tenacity,wrong
fanciful,imaginative,fantastical,wrong
showed,demonstrated,shown,wrong
constantly,continually,continually,correct
issues,subjects,issue,wrong
furnish,supply,provide,wrong
costly,expensive,expensive,correct
recognized,acknowledged,recognised,wrong
spot,location,spots,wrong
make,earn,making,wrong
often,frequently,sometimes,wrong
easygoing,relaxed,laid-back,wrong
debate,argument,debates,wrong
narrow,thin,narrowest,wrong
arranged,planned,arranging,wrong
infinite,limitless,limitless,correct
showy,striking,flashy,wrong
levied,imposed,levying,wrong
deftly,skillfully,skillfully,correct
distribute,circulate,distributing,wrong
discrepancies,differences,inconsistencies,wrong
prolific,productive,prodigious,wrong
unmatched,unequaled,unparalleled,wrong
peculiarly,uniquely,quintessentially,wrong
hue,color,hues,wrong
hind,rear,forelegs,wrong
highlight,accentuate,highlighting,wrong
hastily,hurriedly,hurriedly,correct
temperate,mild,tropics,wrong
grin,smile,smile,correct
verbally,orally,verbal,wrong
physician,doctor,doctor,correct
essentially,basically,basically,correct
keen,sharp,eager,wrong
situated,positioned,located,wrong
principal,major,co-principal,wrong
slowly,gradually,gradually,correct
built,constructed,constructed,correct
tasks,jobs,task,wrong
unlikely,improbable,likely,wrong
halfheartedly,apathetically,half-heartedly,wrong
annals,chronicles,history,wrong
wildly,furiously,Wildly,wrong
hailed,acclaimed,lauded,wrong
command,mastery,commands,wrong
concocted,devised,concocting,wrong
prospective,potential,Prospective,wrong
generally,broadly,usually,wrong
sustained,prolonged,sustaining,wrong
perilous,dangerous,treacherous,wrong
tranquillity,peacefulness,tranquility,wrong
dissipate,disperse,dissipated,wrong
primarily,chiefly,principally,wrong
colloquial,conversational,slang,wrong
resolved,settled,solved,wrong
feasible,possible,unfeasible,wrong
expeditiously,rapidly,speedily,wrong
percentage,proportion,percentages,wrong
terminated,ended,terminate,wrong
uniform,alike,uniforms,wrong
figure,solve,figures,wrong
sufficient,enough,adequate,wrong
fashion,manner,couture,wrong
marketed,sold,sold,correct
bigger,larger,larger,correct
roots,origins,origins,correct
normally,ordinarily,Normally,wrong
